timestamp,hour,day_of_week,is_weekend,occupancy,energy_kwh,water_lpm,waste_pct,is_anomaly
2025-09-13T16:15:11.113885,0,5,1,17,65.02,9.81,30.81,0
2025-09-13T17:15:11.113885,1,5,1,453,54.33,6.44,31.78,0
2025-09-13T18:15:11.113885,2,5,1,467,48.96,11.06,32.63,0
2025-09-13T19:15:11.113885,3,5,1,584,70.65,9.2,33.79,0
2025-09-13T20:15:11.113885,4,5,1,335,64.62,10.31,92.1,1
2025-09-13T21:15:11.113885,5,5,1,210,75.12,13.36,93.24,0
2025-09-13T22:15:11.113885,6,5,1,378,76.61,17.62,94.66,0
2025-09-13T23:15:11.113885,7,5,1,404,100.9,18.07,96.47,0
2025-09-14T00:15:11.113885,8,5,1,506,93.89,21.09,98.38,0
2025-09-14T01:15:11.113885,9,5,1,688,109.38,24.75,100.0,0
2025-09-14T02:15:11.113885,10,5,1,997,122.59,23.32,100.0,0
2025-09-14T03:15:11.113885,11,5,1,1015,115.49,22.89,100.0,0
2025-09-14T04:15:11.113885,12,5,1,999,129.98,38.7,100.0,0
2025-09-14T05:15:11.113885,13,5,1,892,124.61,44.29,100.0,0
2025-09-14T06:15:11.113885,14,5,1,1165,120.57,42.74,100.0,0
2025-09-14T07:15:11.113885,15,5,1,384,109.58,24.52,100.0,0
2025-09-14T08:15:11.113885,16,5,1,601,118.55,20.5,100.0,0
2025-09-14T09:15:11.113885,17,5,1,930,105.76,19.1,100.0,0
2025-09-14T10:15:11.113885,18,5,1,436,85.82,29.54,10.37,0
2025-09-14T11:15:11.113885,19,5,1,221,77.64,28.87,11.95,0
2025-09-14T12:15:11.113885,20,5,1,308,78.15,26.7,13.09,0
2025-09-14T13:15:11.113885,21,5,1,222,67.1,11.49,14.05,0
2025-09-14T14:15:11.113885,22,5,1,161,79.63,8.54,15.18,0
2025-09-14T15:15:11.113885,23,5,1,130,58.63,10.76,16.16,0
2025-09-14T16:15:11.113885,0,6,1,92,69.65,13.03,17.24,0
2025-09-14T17:15:11.113885,1,6,1,184,53.29,5.77,18.25,0
2025-09-14T18:15:11.113885,2,6,1,0,53.25,10.32,19.14,0
2025-09-14T19:15:11.113885,3,6,1,0,72.45,10.36,20.01,0
2025-09-14T20:15:11.113885,4,6,1,184,69.76,7.96,21.0,0
2025-09-14T21:15:11.113885,5,6,1,252,76.62,14.16,22.5,0
2025-09-14T22:15:11.113885,6,6,1,765,84.9,15.55,23.96,0
2025-09-14T23:15:11.113885,7,6,1,740,101.04,15.79,25.51,0
2025-09-15T00:15:11.113885,8,6,1,637,93.94,17.12,26.96,0
2025-09-15T01:15:11.113885,9,6,1,862,114.21,20.61,28.52,0
2025-09-15T02:15:11.113885,10,6,1,804,130.96,19.52,30.36,0
2025-09-15T03:15:11.113885,11,6,1,598,121.59,23.68,32.05,0
2025-09-15T04:15:11.113885,12,6,1,965,114.09,41.1,33.86,0
2025-09-15T05:15:11.113885,13,6,1,842,123.29,40.94,35.53,0
2025-09-15T06:15:11.113885,14,6,1,1110,124.47,38.84,37.23,0
2025-09-15T07:15:11.113885,15,6,1,584,106.56,21.18,39.09,0
2025-09-15T08:15:11.113885,16,6,1,1008,106.2,128.64,41.02,1
2025-09-15T09:15:11.113885,17,6,1,719,100.51,14.71,42.86,0
2025-09-15T10:15:11.113885,18,6,1,604,91.16,27.8,17.66,0
2025-09-15T11:15:11.113885,19,6,1,523,85.8,31.65,19.03,0
2025-09-15T12:15:11.113885,20,6,1,108,72.04,26.76,19.91,0
2025-09-15T13:15:11.113885,21,6,1,270,71.28,11.82,21.03,0
2025-09-15T14:15:11.113885,22,6,1,178,60.09,8.69,21.95,0
2025-09-15T15:15:11.113885,23,6,1,5,62.09,11.02,96.68,1
2025-09-15T16:15:11.113885,0,0,0,550,95.38,10.02,97.74,0
2025-09-15T17:15:11.113885,1,0,0,178,87.33,7.71,98.77,0
2025-09-15T18:15:11.113885,2,0,0,372,72.86,79.53,99.85,1
2025-09-15T19:15:11.113885,3,0,0,823,95.2,13.5,100.0,0
2025-09-15T20:15:11.113885,4,0,0,1142,114.06,14.78,100.0,0
2025-09-15T21:15:11.113885,5,0,0,1840,120.77,18.38,100.0,0
2025-09-15T22:15:11.113885,6,0,0,2312,150.95,20.23,100.0,0
2025-09-15T23:15:11.113885,7,0,0,2878,160.77,23.14,100.0,0
2025-09-16T00:15:11.113885,8,0,0,3817,185.53,26.31,100.0,0
2025-09-16T01:15:11.113885,9,0,0,4132,203.97,29.34,100.0,0
